package,date,version,total_dependencies,source
astropy,2013-01-26 21:09:13,0.1,0,pypi
astropy,2013-02-19 22:44:09,0.2,0,pypi
astropy,2013-04-03 19:53:13,0.2.1,0,pypi
astropy,2013-05-21 21:00:17,0.2.2,0,pypi
astropy,2013-05-30 20:38:13,0.2.3,0,pypi
astropy,2013-07-24 18:49:00,0.2.4,0,pypi
astropy,2013-10-25 16:32:22,0.2.5,0,pypi
astropy,2013-11-21 01:54:53,0.3,0,pypi
astropy,2014-03-04 17:58:34,0.3.1,0,pypi
astropy,2014-05-13 16:17:04,0.3.2,0,pypi
astropy,2014-07-09 20:23:19,0.4rc1,0,pypi
astropy,2014-07-12 15:11:10,0.4rc2,0,pypi
astropy,2014-07-16 21:06:50,0.4,0,pypi
astropy,2014-08-14 19:13:26,0.4.1,0,pypi
astropy,2014-09-23 21:01:55,0.4.2,0,pypi
astropy,2015-01-15 22:13:06,0.4.3,0,pypi
astropy,2015-01-21 20:40:17,0.4.4,0,pypi
astropy,2015-01-27 23:09:28,1.0rc1,0,pypi
astropy,2015-02-12 06:15:13,1.0rc2,0,pypi
astropy,2015-02-16 21:17:31,0.4.5,0,pypi
astropy,2015-02-18 23:23:11,1.0,0,pypi
astropy,2015-03-31 21:34:58,1.0.1,0,pypi
astropy,2015-04-16 16:07:49,1.0.2,0,pypi
astropy,2015-05-29 19:55:45,0.4.6,0,pypi
astropy,2015-07-31 14:42:48,1.0.3,0,pypi
astropy,2015-08-11 20:21:08,1.0.4,0,pypi
astropy,2015-10-05 21:54:18,1.0.5,0,pypi
astropy,2015-10-15 22:05:56,1.1b1,0,pypi
astropy,2015-10-22 23:25:42,1.0.6,0,pypi
astropy,2015-12-05 02:07:07,1.0.7,0,pypi
astropy,2015-12-07 23:19:41,1.1rc2,0,pypi
astropy,2015-12-14 19:01:02,1.1,0,pypi
astropy,2015-12-17 20:43:53,1.1.post1,0,pypi
astropy,2015-12-21 17:29:51,1.1.post2,0,pypi
astropy,2016-01-08 22:39:00,1.1.1,0,pypi
astropy,2016-01-09 06:05:37,1.0.8,0,pypi
astropy,2016-03-10 22:20:16,1.0.9,0,pypi
astropy,2016-03-10 22:23:10,1.1.2,0,pypi
astropy,2016-06-09 17:18:49,1.0.10,0,pypi
astropy,2016-06-11 16:44:31,1.2rc1,0,pypi
astropy,2016-06-11 21:20:28,1.1rc1,0,pypi
astropy,2016-06-23 00:33:03,1.2,0,pypi
astropy,2016-06-24 18:13:08,1.2.1,0,pypi
astropy,2016-12-13 07:37:18,1.3rc1,0,pypi
astropy,2016-12-23 06:06:15,1.0.11,0,pypi
astropy,2016-12-23 06:08:12,1.2.2,0,pypi
astropy,2017-01-15 18:21:45,1.3,0,pypi
astropy,2017-03-05 20:14:47,1.0.12,0,pypi
astropy,2017-03-18 03:59:01,1.3.1,0,pypi
astropy,2017-05-08 21:26:14,1.3.2,0,pypi
astropy,2017-05-29 20:15:34,1.0.13,0,pypi
astropy,2017-06-19 16:52:19,1.3.3,0,pypi
astropy,2017-06-27 23:13:35,2.0rc1,0,pypi
astropy,2017-07-07 14:27:56,2.0,2,pypi
astropy,2017-07-30 20:15:48,2.0.1,2,pypi
astropy,2017-09-12 14:16:24,2.0.2,2,pypi
astropy,2017-12-20 17:44:21,2.0.3,2,pypi
astropy,2018-01-08 01:54:30,3.0rc1,0,pypi
astropy,2018-01-26 01:12:04,3.0rc2,0,pypi
astropy,2018-02-06 00:41:04,2.0.4,0,pypi
